Activity	mean	median	variance	distance	diff	sign	levels	trend	distance2	distance
discrete	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous
class										
Empty-2	-52.8796296296	-52.9	0.135976880146	0.137037037037	0.222222222222	1.0	4	0.0	0.177661999336	0.137037037037
Empty-2	-52.9166666667	-53.0	0.132916013583	0.1	0.0	0.0	4	-1.0	0.152752523165	0.1
Empty-2	-52.85	-52.9	0.176068168617	0.166666666667	-0.4	-1.0	4	-2.0	0.22360679775	0.166666666667
Empty-2	-52.85	-52.9	0.176068168617	0.2	0.2	1.0	4	0.0	0.264575131106	0.2
Empty-2	-52.8277777778	-52.85	0.191388687308	0.238888888889	-0.0333333333333	-1.0	4	0.0	0.294706382442	0.238888888889
Empty-2	-52.9277777778	-53.0	0.256832558222	0.294444444444	0.3	1.0	4	0.0	0.37242946138	0.294444444444
Empty-2	-52.9277777778	-53.0	0.256832558222	0.344444444444	0.0	0.0	4	-1.0	0.392050639208	0.344444444444
Empty-2	-52.9111111111	-52.95	0.254442018426	0.294444444444	0.3	1.0	4	-1.0	0.358752984244	0.294444444444
Empty-2	-53.3111111111	-53.0	0.852099802883	0.577777777778	2.0	1.0	5	-1.0	0.914897282233	0.577777777778
Empty-2	-53.3111111111	-53.0	0.852099802883	0.855555555556	0.333333333333	1.0	5	-1.0	1.21868174073	0.855555555556
Empty-2	-53.3833333333	-53.05	0.803533861556	0.766666666667	-0.2	-1.0	5	-1.0	1.19163752878	0.766666666667
Empty-2	-53.3166666667	-53.0	0.82804991798	0.75	-0.1	-1.0	5	-1.0	1.18813579471	0.75
Empty-2	-53.3166666667	-53.0	0.82804991798	0.75	0.1	1.0	5	1.0	1.18813579471	0.75
Empty-2	-53.3333333333	-53.0	0.818942407417	0.4	-2.0	-1.0	5	0.0	0.82259751195	0.4
Empty-2	-53.0	-53.0	0.0632455532034	0.0666666666667	0.0	0.0	4	1.0	0.1	0.0666666666667
Empty-2	-52.95	-53.0	0.137840487521	0.1	-0.4	-1.0	4	-1.0	0.152752523165	0.1
Empty-2	-52.9666666667	-53.0	0.163299316186	0.15	0.3	1.0	4	1.0	0.24152294577	0.15
Empty-2	-52.9648148148	-53.0	0.164266670675	0.185185185185	-0.111111111111	-1.0	3	-1.0	0.269811700839	0.185185185185
Empty-2	-53.1981481481	-53.0	0.611026930229	0.437037037037	1.4	1.0	4	0.0	0.67333088864	0.437037037037
Empty-2	-53.1981481481	-53.0	0.611026930229	0.67037037037	0.0	0.0	4	-1.0	0.883199384207	0.67037037037
Empty-2	-53.1814814815	-52.95	0.618826714079	0.637037037037	0.2	1.0	5	-1.0	0.875618535054	0.637037037037
Empty-2	-53.25	-53.0555555556	0.576140843549	0.588888888889	-0.0888888888889	-1.0	5	-1.0	0.855844107185	0.588888888889
Empty-2	-53.2	-52.95	0.594086080972	0.572222222222	0.0111111111111	1.0	5	-1.0	0.850744046173	0.572222222222
Empty-2	-53.2018518519	-52.95	0.592938556418	0.32037037037	-1.5	-1.0	5	-2.0	0.585823608616	0.32037037037
Empty-2	-52.9185185185	-52.9	0.136022268813	0.12037037037	-0.3	-1.0	4	-2.0	0.152280334947	0.12037037037
Empty-2	-52.9	-52.9	0.130147115239	0.135185185185	-0.0111111111111	-1.0	4	0.0	0.165738154335	0.135185185185
Empty-2	-52.9666666667	-52.9	0.208817954859	0.168518518519	0.188888888889	1.0	4	0.0	0.21956747606	0.168518518519
Empty-2	-52.9148148148	-52.8944444444	0.204355858425	0.216666666667	-0.1	-1.0	4	0.0	0.287138572245	0.216666666667
Empty-2	-53.2314814815	-52.8944444444	0.795090387491	0.55	1.9	1.0	5	1.0	0.865514428729	0.55
Empty-2	-53.2481481481	-52.9444444444	0.787766546438	0.816666666667	0.3	1.0	5	1.0	1.1324524536	0.816666666667
Empty-2	-53.2981481481	-53.0	0.754849888328	0.785185185185	0.111111111111	1.0	5	0.0	1.12982390558	0.785185185185
Empty-2	-53.3333333333	-53.05	0.73665912515	0.733333333333	-0.2	-1.0	5	0.0	1.11803398875	0.733333333333
Empty-2	-53.2833333333	-53.0	0.749444238531	0.666666666667	0.2	1.0	5	0.0	1.1	0.666666666667
Empty-2	-53.3	-53.0	0.737563556583	0.35	-1.9	-1.0	5	-2.0	0.738241153012	0.35
Empty-2	-52.962962963	-53.0	0.110591377037	0.0703703703704	-0.222222222222	-1.0	4	-2.0	0.0865431218189	0.0703703703704
Empty-2	-52.9462962963	-52.95	0.111425481197	0.0907407407407	-0.1	-1.0	4	-1.0	0.0998970663649	0.0907407407407
Empty-2	-52.962962963	-52.95	0.127398793852	0.107407407407	0.0	0.0	4	-1.0	0.122390456606	0.107407407407
Empty-2	-52.962962963	-52.95	0.127398793852	0.0907407407407	0.1	1.0	4	0.0	0.115380922174	0.0907407407407
Empty-2	-53.3333333333	-53.0	0.933915162563	0.427777777778	2.32222222222	1.0	5	2.0	0.873088741548	0.427777777778
Empty-2	-53.3166666667	-53.0	0.944032589938	0.811111111111	0.0222222222222	1.0	5	2.0	1.31820116863	0.811111111111
Empty-2	-53.337037037	-53.0	0.93131174361	0.807407407407	0.0	0.0	5	2.0	1.31788894666	0.807407407407
Empty-2	-53.3703703704	-53.1	0.915994141624	0.807407407407	0.0	0.0	5	2.0	1.31788894666	0.807407407407
Empty-2	-53.3537037037	-53.05	0.92278207014	0.824074074074	-0.1	-1.0	5	1.0	1.31852111943	0.824074074074
Empty-2	-53.287037037	-52.95	0.958533258802	0.52037037037	-2.52222222222	-1.0	5	-1.0	1.0014290201	0.52037037037
Empty-2	-52.8666666667	-52.85	0.163299316186	0.116666666667	-0.1	-1.0	4	0.0	0.158113883008	0.116666666667
Empty-2	-52.9166666667	-52.95	0.183484785927	0.166666666667	0.2	1.0	4	0.0	0.22360679775	0.166666666667
Empty-2	-52.8407407407	-52.85	0.267005956993	0.242592592593	-0.655555555556	-1.0	4	-2.0	0.339055818025	0.242592592593
Empty-2	-52.8407407407	-52.85	0.267005956993	0.335185185185	0.1	1.0	4	0.0	0.430020575639	0.335185185185
Empty-2	-53.1740740741	-52.9	0.930250641034	0.601851851852	2.3	1.0	5	2.0	0.87839874894	0.601851851852
Empty-2	-53.2074074074	-53.0	0.9132945833	0.951851851852	0.2	1.0	5	1.0	1.22742998258	0.951851851852
Empty-2	-53.2574074074	-53.05	0.887816482724	0.901851851852	-0.1	-1.0	5	1.0	1.21720350071	0.901851851852
Empty-2	-53.2037037037	-52.95	0.908741272084	0.82962962963	0.333333333333	1.0	5	1.0	1.19087753376	0.82962962963
Empty-2	-53.2796296296	-52.95	0.849732468186	0.740740740741	-0.2	-1.0	5	1.0	1.16148762281	0.740740740741
Empty-2	-53.2796296296	-52.95	0.849732468186	0.457407407407	-1.9	-1.0	5	1.0	0.868362538311	0.457407407407
Empty-2	-52.9962962963	-52.95	0.184011092884	0.140740740741	0.4	1.0	4	3.0	0.160375074775	0.140740740741
